Unnamed: 0,Job Id,Experience,Qualifications,Salary Range (K),Min Salary (K),Max Salary (K),Country,Work Type,Company Size,Job Posting Date,Predicted Industry,Job Title,Role,Job Portal,Job Description,Benefits,skills,Responsibilities,Company,Company Profile,Text,Cluster Name,Broader Category,Average Salary (K),Year-Quarter
25201,1877369252855804.0,4 to 12 Years,BA,63,65,128,Singapore,Part-Time,123685,2021-10-10,4,Mechanical Engineer,Manufacturing Engineer,Stack Overflow Jobs,"Manufacturing Engineers optimize manufacturing processes, improve production efficiency, and ensure product quality in manufacturing environments.","Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts","['Manufacturing processes knowledge""', 'C""', 'A""', 'D""', 'C""', 'A""', 'M software proficiency""', 'Lean manufacturing principles""', 'Quality control and assurance""', 'Six""', 'Sigma certification]""]]]]]']",Improve manufacturing processes and production efficiency. Collaborate with production teams to implement lean manufacturing principles. Optimize manufacturing workflows and quality control.,Raymond James Financial,"{""Sector"":""Financial Services"",""Industry"":""Securities"",""City"":""St. Petersburg"",""State"":""Florida"",""Zip"":""33716"",""Website"":""www.raymondjames.com"",""Ticker"":""RJF"",""CEO"":""Paul C. Reilly""}","Mechanical Engineer Improve manufacturing processes and production efficiency. Collaborate with production teams to implement lean manufacturing principles. Optimize manufacturing workflows and quality control. Manufacturing processes knowledge CAD, CAM software proficiency Lean manufacturing principles Quality control and assurance Six Sigma certification",Engineering & Architecture,Engineering,96.5,2021Q4
25795,2182696466405018.0,0 to 9 Years,PhD,46,64,110,Singapore,Temporary,123115,2022-12-11,29,Chemical Engineer,Research and Development (R&D) Engineer,Dice,"Conduct research, design experiments, and develop innovative products or technologies in various industries.","Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)","['Research and development processes""', 'Product innovation""', 'Prototype development""', 'Testing and experimentation""', 'Data analysis""', 'Collaboration with cross""', 'Problem""', 'Attention to detail""', 'Technical expertise""', 'Project management skills]""]]]]]']",Work on research and development of new products or materials. Collaborate with cross-functional teams on innovation projects. Conduct experiments and tests.,State Farm Insurance,"{""Sector"":""Insurance"",""Industry"":""Insurance: Property and Casualty (Mutual)"",""City"":""Bloomington"",""State"":""Illinois"",""Zip"":""61710"",""Website"":""www.statefarm.com"",""Ticker"":"""",""CEO"":""Michael L. Tipsord""}","Chemical Engineer Work on research and development of new products or materials. Collaborate with cross-functional teams on innovation projects. Conduct experiments and tests. Research and development processes Product innovation Prototype development Testing and experimentation Data analysis Collaboration with cross, functional teams Problem, solving Attention to detail Technical expertise Project management skills",Construction & Civil Engineering,Engineering,87.0,2022Q4
27321,857576000000000.0,4 to 10 Years,MCA,52,60,112,Singapore,Intern,76218,2022-08-03,4,Environmental Consultant,Sustainability Consultant,Snagajob,"Sustainability Consultants advise organizations on sustainable practices and strategies. They assess environmental impact, recommend sustainability initiatives, and assist in the development and implementation of sustainable policies.","Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts","['Sustainability consulting""', 'Sustainability assessments""', 'Sustainable practices""', 'Green building standards""', 'Environmental policies""', 'Client communication]""]]]]]']","Focus on sustainable practices and initiatives, advising clients on reducing their environmental footprint. Develop sustainability plans and strategies. Conduct sustainability audits and reporting.",C.H. Robinson Worldwide,"{""Sector"":""Logistics"",""Industry"":""Transportation and Logistics"",""City"":""Eden Prairie"",""State"":""Minnesota"",""Zip"":""55347"",""Website"":""www.chrobinson.com"",""Ticker"":""CHRW"",""CEO"":""Scott Anderson""}","Environmental Consultant Focus on sustainable practices and initiatives, advising clients on reducing their environmental footprint. Develop sustainability plans and strategies. Conduct sustainability audits and reporting. Sustainability consulting Sustainability assessments Sustainable practices Green building standards Environmental policies Client communication",Engineering & Architecture,Engineering,86.0,2022Q3
27357,1528289684757006.0,3 to 10 Years,BCA,63,62,125,Singapore,Intern,85576,2023-01-23,4,Electrical Designer,PCB Designer,Idealist,"PCB Designers specialize in designing printed circuit boards (PCBs). They create PCB layouts, ensure proper connectivity, and consider electrical and mechanical requirements.","Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities","['P""', 'C""', 'B design""', 'Electronics""', 'P""', 'C""', 'B layout software proficiency""', 'Circuit design""', 'Quality control]""]]]]]']",Design printed circuit boards (PCBs) for electronic devices and systems. Create schematics and layouts. Optimize PCBs for performance and manufacturability.,NCR,"{""Sector"":""Technology"",""Industry"":""Computers, Office Equipment"",""City"":""Atlanta"",""State"":""Georgia"",""Zip"":""30308"",""Website"":""www.ncr.com"",""Ticker"":""NCR"",""CEO"":""Michael Hayford""}",Electrical Designer Design printed circuit boards (PCBs) for electronic devices and systems. Create schematics and layouts. Optimize PCBs for performance and manufacturability. PCB design Electronics PCB layout software proficiency Circuit design Quality control,Engineering & Architecture,Engineering,93.5,2023Q1
28315,1499496404506751.0,2 to 8 Years,MBA,58,55,113,Singapore,Part-Time,97675,2022-03-16,4,Environmental Consultant,Environmental Compliance Officer,SimplyHired,"Environmental Compliance Officers ensure that organizations adhere to environmental regulations and standards. They conduct audits, develop compliance programs, and oversee efforts to minimize environmental impact and maintain regulatory compliance.","Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)","['Environmental compliance""', 'Regulatory requirements""', 'Environmental impact assessments""', 'Reporting""', 'Environmental regulations""', 'Auditing]""]]]]]']",Ensure compliance with environmental laws and regulations. Conduct environmental assessments and audits. Develop and implement compliance strategies.,International Paper,"{""Sector"":""Manufacturing"",""Industry"":""Packaging, Containers"",""City"":""Memphis"",""State"":""Tennessee"",""Zip"":""38197"",""Website"":""www.internationalpaper.com"",""Ticker"":""IP"",""CEO"":""Mark S. Sutton""}",Environmental Consultant Ensure compliance with environmental laws and regulations. Conduct environmental assessments and audits. Develop and implement compliance strategies. Environmental compliance Regulatory requirements Environmental impact assessments Reporting Environmental regulations Auditing,Engineering & Architecture,Engineering,84.0,2022Q1
28374,2338885847381322.0,1 to 8 Years,BCA,60,57,117,Singapore,Full-Time,48147,2023-02-13,4,Environmental Engineer,Sustainability Specialist,Internships.com,"A Sustainability Specialist promotes sustainability initiatives within organizations, develops sustainability programs, and helps reduce environmental impacts while increasing efficiency.","Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling","['Sustainability practices""', 'Environmental management systems""', 'Green certifications]""]]]]]']",Promote sustainability practices within organizations. Develop sustainability plans and initiatives. Monitor and report on sustainability metrics and goals.,Wipro Limited,"{""Sector"":""Information Technology"",""Industry"":""Information Technology and Services"",""City"":""Bengaluru"",""State"":""Karnataka"",""Zip"":""560035"",""Website"":""www.wipro.com"",""Ticker"":""WIPRO"",""CEO"":""Thierry Delaporte""}",Environmental Engineer Promote sustainability practices within organizations. Develop sustainability plans and initiatives. Monitor and report on sustainability metrics and goals. Sustainability practices Environmental management systems Green certifications,Engineering & Architecture,Engineering,87.0,2023Q1
30052,2177811962977424.8,1 to 15 Years,BCA,52,57,109,Singapore,Part-Time,51856,2021-11-22,4,Landscape Architect,Environmental Designer,The Muse,"Design outdoor spaces, parks, and landscapes with an emphasis on environmental sustainability.","Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts","['Environmental design principles""', 'Sustainability concepts""', 'C""', 'A""', 'D and design software]""]]]]]']","Focus on environmentally sustainable landscape design. Design landscapes to conserve resources, reduce pollution, and support biodiversity. Select native plants and sustainable materials.",Robert Half International,"{""Sector"":""Industrials"",""Industry"":""Temporary Help"",""City"":""Menlo Park"",""State"":""California"",""Zip"":""94025"",""Website"":""www.roberthalf.com"",""Ticker"":""RHI"",""CEO"":""Keith Waddell""}","Landscape Architect Focus on environmentally sustainable landscape design. Design landscapes to conserve resources, reduce pollution, and support biodiversity. Select native plants and sustainable materials. Environmental design principles Sustainability concepts CAD and design software",Engineering & Architecture,Engineering,83.0,2021Q4
34342,784433000000000.0,2 to 12 Years,MCA,57,56,113,Singapore,Intern,103291,2023-07-08,4,Architect,Sustainable Design Specialist,Indeed,"Sustainable Design Specialists incorporate eco-friendly practices into architectural designs, promoting energy efficiency and environmental sustainability.","Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development","['Sustainable design principles""', 'Energy efficiency""', 'L""', 'E""', 'E""', 'D certification""', 'Green building materials""', 'Environmental impact assessment]""]]]]]']",Focus on sustainable and eco-friendly architectural practices. Integrate green building technologies and materials into architectural designs. Advise on energy-efficient building solutions.,EnLink Midstream,"{""Sector"":""Energy"",""Industry"":""Pipelines"",""City"":""Dallas"",""State"":""Texas"",""Zip"":""75201"",""Website"":""www.enlink.com"",""Ticker"":""ENLC"",""CEO"":""Jesse Arenivas""}",Architect Focus on sustainable and eco-friendly architectural practices. Integrate green building technologies and materials into architectural designs. Advise on energy-efficient building solutions. Sustainable design principles Energy efficiency LEED certification Green building materials Environmental impact assessment,Engineering & Architecture,Engineering,84.5,2023Q3
36587,430517000000000.0,4 to 14 Years,MCA,23,65,88,Singapore,Intern,107603,2022-08-04,4,Urban Planner,Transportation Planner,FlexJobs,"Transportation Planners design and manage transportation systems. They optimize traffic flow, plan public transit routes, and enhance overall transportation efficiency.","Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance","['Transportation planning""', 'Traffic engineering""', 'G""', 'I""', 'S proficiency""', 'Public transportation""', 'Project management]""]]]]]']",Specialize in transportation infrastructure and traffic management. Design efficient transportation networks. Address traffic congestion and improve public transit systems.,China COSCO Shipping Corporation,"{""Sector"":""Shipping and Logistics"",""Industry"":""Transportation/Logistics"",""City"":""Shanghai"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""http://www.cosco.com/"",""Ticker"":""1919.HK"",""CEO"":""Xu Lirong""}",Urban Planner Specialize in transportation infrastructure and traffic management. Design efficient transportation networks. Address traffic congestion and improve public transit systems. Transportation planning Traffic engineering GIS proficiency Public transportation Project management,Engineering & Architecture,Engineering,76.5,2022Q3
36768,1124176964888549.0,1 to 15 Years,BBA,18,62,80,Singapore,Part-Time,48194,2021-01-12,4,Aerospace Engineer,Systems Engineer,Dice,Systems Engineers design and manage complex systems and infrastructure. They integrate various components and technologies to ensure optimal system performance and reliability.,"Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts","['Systems engineering""', 'System architecture""', 'Integration testing""', 'Troubleshooting""', 'Technical documentation""', 'Configuration management]""]]]]]']",Work on aerospace systems integration and optimization. Address system safety and reliability. Collaborate with multidisciplinary teams.,3M,"{""Sector"":""Conglomerate"",""Industry"":""Chemicals"",""City"":""St. Paul"",""State"":""Minnesota"",""Zip"":""55144"",""Website"":""www.3m.com"",""Ticker"":""MMM"",""CEO"":""Michael F. Roman""}",Aerospace Engineer Work on aerospace systems integration and optimization. Address system safety and reliability. Collaborate with multidisciplinary teams. Systems engineering System architecture Integration testing Troubleshooting Technical documentation Configuration management,Engineering & Architecture,Engineering,71.0,2021Q1
38106,125245000000000.0,2 to 9 Years,B.Com,70,60,130,Singapore,Intern,23695,2023-10-07,4,Civil Engineer,Structural Engineer,Internships.com,"A Structural Engineer designs and analyzes the structural integrity of buildings, bridges, and other structures. They ensure safety and compliance with engineering standards.","Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development","['Structural engineering principles""', 'Structural analysis and design software""', 'Auto""', 'C""', 'A""', 'D""', 'S""', 'A""', 'P2000""', 'Building codes and standards""', 'Project management""', 'Structural integrity assessment]""]]]]]']",Design and analyze structural components and systems for buildings and infrastructure projects. Ensure structural safety and compliance with codes and standards. Collaborate with architects and contractors.,Kainos Group,"{""Sector"":""Technology and Software"",""Industry"":""Information Technology"",""City"":""Belfast"",""State"":""Northern Ireland"",""Zip"":""BT7 1NR"",""Website"":""https://www.kainos.com/"",""Ticker"":""KNOS"",""CEO"":""Brendan Mooney""}","Civil Engineer Design and analyze structural components and systems for buildings and infrastructure projects. Ensure structural safety and compliance with codes and standards. Collaborate with architects and contractors. Structural engineering principles Structural analysis and design software , e, g,  AutoCAD,  SAP2000,  Building codes and standards Project management Structural integrity assessment",Engineering & Architecture,Engineering,95.0,2023Q4
38763,1128301538386683.0,4 to 9 Years,BBA,42,62,104,Singapore,Intern,17761,2022-01-27,4,Mechanical Engineer,Manufacturing Engineer,Idealist,"Manufacturing Engineers optimize manufacturing processes, improve production efficiency, and ensure product quality in manufacturing environments.","Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave","['Manufacturing processes knowledge""', 'C""', 'A""', 'D""', 'C""', 'A""', 'M software proficiency""', 'Lean manufacturing principles""', 'Quality control and assurance""', 'Six""', 'Sigma certification]""]]]]]']",Improve manufacturing processes and production efficiency. Collaborate with production teams to implement lean manufacturing principles. Optimize manufacturing workflows and quality control.,Discover Financial Services,"{""Sector"":""Financial Services"",""Industry"":""Commercial Banks"",""City"":""Riverwoods"",""State"":""Illinois"",""Zip"":""60015"",""Website"":""www.discover.com"",""Ticker"":""DFS"",""CEO"":""Roger C. Hochschild""}","Mechanical Engineer Improve manufacturing processes and production efficiency. Collaborate with production teams to implement lean manufacturing principles. Optimize manufacturing workflows and quality control. Manufacturing processes knowledge CAD, CAM software proficiency Lean manufacturing principles Quality control and assurance Six Sigma certification",Engineering & Architecture,Engineering,83.0,2022Q1
41616,829421000000000.0,1 to 15 Years,M.Com,60,56,116,Singapore,Contract,116255,2022-11-01,4,Mechanical Designer,CAD Technician,Glassdoor,Create and modify technical drawings using computer-aided design (CAD) software for various engineering projects.,"Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts","['Computer""', 'C""', 'A""', 'D""', 'Technical drawing""', 'Blueprint interpretation""', 'Drafting standards""', 'Engineering principles""', 'Collaboration with engineers""', 'Problem""', 'Attention to detail""', 'Communication skills 3""', 'D modeling]""]]]]]']",Use computer-aided design (CAD) software to create and revise technical drawings. Ensure drawings comply with industry standards. Support design projects with technical expertise.,Prudential Financial,"{""Sector"":""Financial Services"",""Industry"":""Insurance: Life, Health (Stock)"",""City"":""Newark"",""State"":""New Jersey"",""Zip"":""7102"",""Website"":""www.prudential.com"",""Ticker"":""PRU"",""CEO"":""Charles F. Lowrey""}","Mechanical Designer Use computer-aided design (CAD) software to create and revise technical drawings. Ensure drawings comply with industry standards. Support design projects with technical expertise. Computer, aided design , CAD,  software Technical drawing Blueprint interpretation Drafting standards Engineering principles Collaboration with engineers Problem, solving Attention to detail Communication skills 3D modeling , if applicable",Engineering & Architecture,Engineering,86.0,2022Q4
42031,3026781095894701.0,1 to 12 Years,BBA,59,63,122,Singapore,Intern,94711,2023-10-03,4,Architect,Sustainable Design Specialist,USAJOBS,"Sustainable Design Specialists incorporate eco-friendly practices into architectural designs, promoting energy efficiency and environmental sustainability.","Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)","['Sustainable design principles""', 'Energy efficiency""', 'L""', 'E""', 'E""', 'D certification""', 'Green building materials""', 'Environmental impact assessment]""]]]]]']",Focus on sustainable and eco-friendly architectural practices. Integrate green building technologies and materials into architectural designs. Advise on energy-efficient building solutions.,Metro AG,"{""Sector"":""Retail"",""Industry"":""Retail"",""City"":""D sseldorf"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.metroag.de"",""Ticker"":""B4B"",""CEO"":""Steffen Greubel""}",Architect Focus on sustainable and eco-friendly architectural practices. Integrate green building technologies and materials into architectural designs. Advise on energy-efficient building solutions. Sustainable design principles Energy efficiency LEED certification Green building materials Environmental impact assessment,Engineering & Architecture,Engineering,92.5,2023Q4
42849,2286404024175128.0,4 to 8 Years,M.Com,41,59,100,Singapore,Part-Time,105325,2023-08-04,4,Landscape Architect,Urban Planner,Monster,"Develop and implement urban planning strategies, manage land use, and ensure sustainable city development.","Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities","['Urban design and planning""', 'Zoning regulations""', 'G""', 'I""', 'S and mapping tools]""]]]]]']","Plan and design urban spaces, parks, and recreational areas. Consider sustainability and community needs in design. Collaborate with city planners and architects.",Kraft Heinz,"{""Sector"":""Food and Beverage"",""Industry"":""Food Consumer Products"",""City"":""Chicago"",""State"":""Illinois"",""Zip"":""60601"",""Website"":""www.kraftheinzcompany.com"",""Ticker"":""KHC"",""CEO"":""Miguel Patricio""}","Landscape Architect Plan and design urban spaces, parks, and recreational areas. Consider sustainability and community needs in design. Collaborate with city planners and architects. Urban design and planning Zoning regulations GIS and mapping tools",Engineering & Architecture,Engineering,79.5,2023Q3
